Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Tweetbot,1357749203.74,1357749204.76
,,Transmit,1357749205.26,1357749219.99
,,Terminal,1357749222.03,1357749233.22
,,Google Chrome,1357749233.72,1357749236.27
,,Terminal,1357749236.78,1357749242.38
,,Transmit,1357749242.89,1357749244.41
,,Transmit,1357749245.43,1357749248.98
,,Transmit,1357749250.00,1357749280.98
,,Terminal,1357749281.49,1357749282.00
,,Transmit,1357749282.51,1357749283.02
,,Terminal,1357749283.53,1357749284.03
,,Transmit,1357749284.54,1357749297.24
,,Google Chrome,1357749297.74,1357749302.88
,,Google Chrome,1357749303.89,1357749313.54
,,Transmit,1357749314.05,1357749325.22
,,Google Chrome,1357749325.72,1357749356.19
,,Transmit,1357749356.70,1357749357.72
,,Google Chrome,1357749358.23,1357749400.93
,,Transmit,1357749401.44,1357749418.72
,,Google Chrome,1357749419.23,1357749445.14
,,Tweetbot,1357749445.65,1357749455.82
,,Google Chrome,1357749456.32,1357749519.28
,,Tweetbot,1357749519.79,1357749574.19
,,Google Chrome,1357749574.70,1357749575.71
,,Google Chrome,1357749576.73,1357749661.54
,,Tweetbot,1357749662.04,1357749668.64
,,Google Chrome,1357749669.15,1357749670.68
,,Tweetbot,1357749671.19,1357749671.69
,,Google Chrome,1357749672.20,1357749714.80
,,Tweetbot,1357749715.31,1357749720.89
,,Google Chrome,1357749721.40,1357749752.31
,,Finder,1357749752.82,1357749755.87
,,Google Chrome,1357749756.38,1357749836.52
,,Google Chrome,1357749837.53,1357749884.71
,,Google Chrome,1357749886.74,1357749887.25
,,Tweetbot,1357749887.75,1357749900.43
,,Google Chrome,1357749900.94,1357749915.17
,,Tweetbot,1357749915.69,1357749917.72
,,Google Chrome,1357749918.22,1357749936.02
,,Tweetbot,1357749936.52,1357749945.16
,,Google Chrome,1357749945.67,1357749946.17
,,Tweetbot,1357749946.68,1357749949.73
,,Google Chrome,1357749950.24,1357750095.34
,,Tweetbot,1357750095.85,1357750097.39
,,Google Chrome,1357750097.89,1357750140.02
,,Tweetbot,1357750140.53,1357750144.08
,,Google Chrome,1357750144.59,1357750145.60
,,Tweetbot,1357750146.10,1357750168.92
,,Google Chrome,1357750169.42,1357750186.16
,,Tweetbot,1357750186.67,1357750187.18
,,Google Chrome,1357750187.69,1357750194.29
,,Preview,1357750194.81,1357750199.37
,,Google Chrome,1357750199.88,1357750261.30
,,Tweetbot,1357750261.81,1357750285.71
,,Google Chrome,1357750286.21,1357750295.34
,,Google Chrome,1357754382.88,1357754525.44
,,Google Chrome,1357754527.48,1357754592.52
,,Tweetbot,1357754593.03,1357754614.36
,,Google Chrome,1357754614.86,1357754618.92
,,Tweetbot,1357754619.43,1357754620.95
,,Google Chrome,1357754621.46,1357754642.79
,,Tweetbot,1357754643.29,1357754668.66
,,Google Chrome,1357754669.17,1357754777.31
,,Tweetbot,1357754777.82,1357754779.34
,,Google Chrome,1357754779.84,1357754840.31
,,Google Chrome,1357754841.33,1357754893.64
,,Tweetbot,1357754894.15,1357754895.17
,,Google Chrome,1357754895.67,1357754912.43
,,Tweetbot,1357754912.94,1357754922.08
,,Google Chrome,1357754922.59,1357755028.24
,,Tweetbot,1357755029.26,1357755050.61
,,Google Chrome,1357755051.12,1357755087.66
,,Google Chrome,1357755108.17,1357755141.62
,,Tweetbot,1357755144.16,1357755152.27
,,Google Chrome,1357755152.78,1357755349.44
,,Tweetbot,1357755349.95,1357755364.17
,,Google Chrome,1357755364.68,1357755619.76
,,Tweetbot,1357755620.27,1357755623.82
,,Google Chrome,1357755624.32,1357757392.06
,,Google Chrome,1357762599.38,1357762663.01
,,Tweetbot,1357762663.53,1357762667.60
,,Google Chrome,1357762668.11,1357762711.21
,,Tweetbot,1357762711.72,1357762723.90
,,Google Chrome,1357762724.41,1357763120.49
,,Tweetbot,1357763121.00,1357763139.77
,,Google Chrome,1357763140.28,1357763140.79
,,Tweetbot,1357763141.29,1357763146.87
,,Google Chrome,1357763147.38,1357763181.40
,,Tweetbot,1357763181.91,1357763198.65
,,Google Chrome,1357763199.16,1357763274.27
,,Google Chrome,1357770159.65,1357770175.91
,,Tweetbot,1357770176.42,1357770177.43
,,Google Chrome,1357770177.94,1357770178.95
,,Tweetbot,1357770179.46,1357770181.49
,,Google Chrome,1357770182.00,1357770182.50
,,Tweetbot,1357770183.01,1357770184.03
,,Google Chrome,1357770184.53,1357770212.99
,,Tweetbot,1357770213.50,1357770223.64
,,Google Chrome,1357770224.15,1357770271.35
,,Tweetbot,1357770271.86,1357770276.43
,,Google Chrome,1357770276.93,1357770461.78
,,Tweetbot,1357770462.29,1357770468.88
,,Google Chrome,1357770469.39,1357770556.79
,,Tweetbot,1357770557.30,1357770560.34
,,Google Chrome,1357770560.85,1357772015.45
,,Tweetbot,1357772015.95,1357772017.48
,,Google Chrome,1357772017.99,1357772336.53
,,Google Chrome,1357772337.54,1357772338.56
,,Google Chrome,1357772339.58,1357772341.10
,,Google Chrome,1357772345.17,1357772345.68
,,Google Chrome,1357772350.28,1357772350.79
,,Google Chrome,1357772354.35,1357772354.86
,,Google Chrome,1357772358.93,1357772359.95
,,Google Chrome,1357772365.04,1357772931.06
,,Tweetbot,1357772931.57,1357772935.12
,,Google Chrome,1357772935.62,1357772944.27
,,Tweetbot,1357772944.78,1357772955.44
,,Google Chrome,1357772955.94,1357772964.65
,,Tweetbot,1357772965.16,1357772974.30
,,Google Chrome,1357772974.81,1357772975.31
,,Tweetbot,1357772975.83,1357772976.85
,,Google Chrome,1357772977.35,1357773526.58
,,Google Chrome,1357773527.59,1357773541.37
,,Google Chrome,1357779113.98,1357779777.07
,,Tweetbot,1357779778.09,1357779786.24
,,Preview,1357779786.75,1357779789.30
,,Google Chrome,1357779789.81,1357779793.88
,,Preview,1357779794.38,1357779794.89
,,Google Chrome,1357779795.40,1357779799.66
,,Preview,1357779800.16,1357779801.69
,,Google Chrome,1357779802.20,1357779831.68
,,Preview,1357779832.20,1357779832.71
,,Preview,1357779833.73,1357779834.24
,,Google Chrome,1357779834.75,1357780137.28
,,Google Chrome,1357780138.30,1357780300.67
,,Preview,1357780301.18,1357780311.35
,,Google Chrome,1357780311.86,1357780316.95
,,Preview,1357780317.46,1357780321.53
,,Google Chrome,1357780322.04,1357780326.11
,,Preview,1357780326.62,1357780330.18
,,Google Chrome,1357780330.69,1357780358.15
,,Preview,1357780358.66,1357780365.77
,,Google Chrome,1357780366.28,1357780377.46
,,Preview,1357780377.97,1357780385.59
,,Google Chrome,1357780387.63,1357780389.16
,,Safari,1357780389.67,1357780399.85
,,Google Chrome,1357780400.36,1357780454.27
,,Safari,1357780454.78,1357780467.11
,,Safari,1357780469.66,1357780486.44
,,Google Chrome,1357780488.48,1357780490.51
,,Firefox,1357780491.02,1357780492.04
,,Google Chrome,1357780492.54,1357780526.67
,,Firefox,1357780527.17,1357780600.86
,,Firefox,1357780601.88,1357780619.67
,,Preview,1357780620.18,1357780622.73
,,Google Chrome,1357780623.23,1357780655.77
,,Preview,1357780656.27,1357780664.42
,,Google Chrome,1357780664.93,1357780709.15
,,Preview,1357780709.65,1357780712.71
,,Google Chrome,1357780713.22,1357780733.07
,,Firefox,1357780733.58,1357780762.10
,,Tweetbot,1357780762.61,1357780778.40
,,Firefox,1357780778.90,1357780783.49
,,Sublime Text 2,1357780785.01,1357780802.29
,,Firefox,1357780802.80,1357780816.02
,,Preview,1357780816.53,1357780818.57
,,Firefox,1357780819.08,1357780832.82
,,Tweetbot,1357780833.33,1357780833.87
,,Google Chrome,1357780834.37,1357780846.04
,,1Password,1357780848.59,1357780864.41
,,Google Chrome,1357780864.93,1357780890.86
,,Tweetbot,1357780891.37,1357780895.94
,,Google Chrome,1357780896.44,1357780938.64
,,Tweetbot,1357780939.15,1357780939.66
,,Google Chrome,1357780940.16,1357781013.41
,,1Password,1357781013.92,1357781032.23
,,Google Chrome,1357781032.73,1357781039.85
,,1Password,1357781040.36,1357781041.38
,,Google Chrome,1357781041.89,1357781045.45
,,1Password,1357781045.95,1357781046.97
,,Google Chrome,1357781047.47,1357781083.54
,,1Password,1357781084.04,1357781085.06
,,Tweetbot,1357781085.57,1357781094.20
,,Google Chrome,1357781095.21,1357781132.85
,,1Password,1357781133.36,1357781137.42
,,Google Chrome,1357781137.93,1357781194.83
,,Google Chrome,1357781196.36,1357781230.43
,,Google Chrome,1357781231.96,1357781275.18
,,1Password,1357781275.69,1357781277.22
,,Google Chrome,1357781277.73,1357781278.24
,,Tweetbot,1357781278.74,1357781282.30
,,Google Chrome,1357781282.80,1357781553.38
,,Tweetbot,1357781553.89,1357781560.50
,,Google Chrome,1357781561.00,1357781572.18
,,Tweetbot,1357781572.69,1357781575.73
,,Google Chrome,1357781576.24,1357781577.78
,,Tweetbot,1357781578.29,1357781581.85
,,Google Chrome,1357781582.36,1357781588.46
,,Tweetbot,1357781588.97,1357781595.07
,,Google Chrome,1357781595.58,1357781646.90
,,Finder,1357781647.41,1357781648.94
,,Google Chrome,1357781649.45,1357781658.08
,,Finder,1357781658.59,1357781675.38
,,Google Chrome,1357781675.88,1357781925.52
,,Preview,1357781926.03,1357782145.19
,,Finder,1357782145.69,1357782146.20
,,Preview,1357782146.71,1357782381.52
,,Google Chrome,1357782382.03,1357782435.98
,,Preview,1357782436.49,1357782456.32
,,Google Chrome,1357782456.83,1357782809.16
,,Tweetbot,1357782809.67,1357782821.37
,,Google Chrome,1357782821.88,1357782841.70
,,Tweetbot,1357782842.21,1357782842.71
,,Google Chrome,1357782843.22,1357782863.55
,,Tweetbot,1357782864.06,1357782864.56
,,Google Chrome,1357782865.07,1357782888.53
,,Adobe Acrobat Updater,1357782889.03,1357782890.56
,,Adobe Acrobat Updater,1357782893.61,1357782895.13
,,Preview,1357782896.15,1357782933.22
,,Google Chrome,1357782933.73,1357782935.76
,,Preview,1357782936.27,1357782936.77
,,Adobe Acrobat Updater,1357782937.79,1357782938.30
,,Google Chrome,1357782938.81,1357783133.58
,,Tweetbot,1357783134.09,1357783135.11
,,Google Chrome,1357783135.62,1357783136.64
,,Tweetbot,1357783137.15,1357783154.97
,,Google Chrome,1357783155.48,1357783157.52
,,Adobe Acrobat Updater,1357783158.54,1357783159.56
,,Google Chrome,1357783160.57,1357783161.59
,,Preview,1357783162.10,1357783295.98
,,Google Chrome,1357783296.49,1357783298.01
,,Preview,1357783298.52,1357783299.03
,,Google Chrome,1357783299.54,1357783306.14
,,Preview,1357783306.65,1357783335.15
,,Google Chrome,1357783335.66,1357783337.69
,,Preview,1357783338.20,1357783339.22
,,Google Chrome,1357783339.72,1357783343.28
,,Preview,1357783343.79,1357783344.81
,,Google Chrome,1357783345.32,1357783348.36
,,Preview,1357783348.87,1357783349.37
,,Google Chrome,1357783349.88,1357783420.12
,,Preview,1357783420.63,1357783421.14
,,Google Chrome,1357783421.64,1357783422.16
,,Preview,1357783422.67,1357783435.90
,,Google Chrome,1357783436.41,1357783437.93
,,Preview,1357783438.44,1357783439.46
,,Google Chrome,1357783439.97,1357783440.98
,,Google Chrome,1357783442.00,1357783444.03
,,Preview,1357783444.54,1357783446.07
,,Google Chrome,1357783446.58,1357783451.15
,,Preview,1357783451.66,1357783506.11
,,Google Chrome,1357783506.62,1357783518.30
,,Preview,1357783518.81,1357783519.83
,,Google Chrome,1357783520.33,1357783525.92
,,Preview,1357783526.43,1357783527.96
,,Google Chrome,1357783528.47,1357783537.62
,,Preview,1357783538.13,1357783631.31
,,Google Chrome,1357783631.82,1357783635.38
,,Preview,1357783635.89,1357783636.39
,,Preview,1357783637.41,1357783637.92
,,Google Chrome,1357783638.43,1357783644.01
,,Preview,1357783644.52,1357783646.56
,,Google Chrome,1357783647.06,1357783653.67
,,Preview,1357783654.18,1357783744.23
,,Google Chrome,1357783744.74,1357783989.05
,,Preview,1357783989.56,1357784195.41
,,Google Chrome,1357784195.91,1357784260.07
,,Preview,1357784260.58,1357784672.58
