Pool,Pool Notes,Application,Foreground Begin (Unix Time),Foreground End (Unix Time)
,,Google Chrome,1358618590.88,1358618600.75
,,Automator,1358618603.88,1358618609.09
,,Google Chrome,1358618609.61,1358618611.19
,,Automator,1358618611.72,1358618670.46
,,Google Chrome,1358618670.98,1358618734.10
,,Tweetbot,1358618734.62,1358618736.74
,,Transmit,1358618737.26,1358618740.43
,,Finder,1358618740.95,1358618770.11
,,Transmit,1358618770.62,1358618771.15
,,Finder,1358618771.67,1358618774.80
,,Google Chrome,1358618775.32,1358619037.08
,,Finder,1358619037.60,1358619039.16
,,Tweetbot,1358619039.68,1358619041.24
,,Finder,1358619041.76,1358619042.29
,,Google Chrome,1358619042.81,1358619054.80
,,Transmit,1358619056.36,1358619110.93
,,Finder,1358619111.45,1358619115.65
,,Transmit,1358619116.17,1358619137.60
,,Terminal,1358619138.65,1358619215.06
,,Transmit,1358619215.59,1358619216.63
,,Google Chrome,1358619217.15,1358619220.30
,,Terminal,1358619220.83,1358619222.92
,,Finder,1358619223.44,1358619223.96
,,Google Chrome,1358619224.49,1358619226.59
,,Tweetbot,1358619227.12,1358619230.25
,,Transmit,1358619230.77,1358619241.70
,,Google Chrome,1358619242.22,1358619295.61
,,Transmit,1358619296.13,1358619720.06
,,Google Chrome,1358619720.58,1358619747.14
,,Transmit,1358619747.66,1358619748.71
,,Finder,1358619749.23,1358619815.36
,,Google Chrome,1358619815.88,1358619892.60
,,Finder,1358619893.12,1358619894.16
,,Transmit,1358619894.68,1358619895.21
,,Finder,1358619895.73,1358619914.00
,,Preview,1358619914.53,1358619951.01
,,Google Chrome,1358619952.05,1358619959.85
,,Finder,1358619960.37,1358619972.87
,,Google Chrome,1358619973.40,1358619977.03
,,Finder,1358619977.55,1358619979.63
,,Preview,1358619980.15,1358619983.85
,,Finder,1358619984.38,1358619984.91
,,Preview,1358619985.44,1358619990.73
,,Finder,1358619991.25,1358619993.90
,,Preview,1358619994.42,1358620016.30
,,Finder,1358620016.82,1358620021.52
,,Preview,1358620022.04,1358620024.65
,,Google Chrome,1358620025.17,1358620029.87
,,Finder,1358620030.91,1358620035.64
,,Google Chrome,1358620036.17,1358620062.74
,,Finder,1358620063.26,1358620063.79
,,Preview,1358620064.83,1358620067.45
,,Google Chrome,1358620067.97,1358620072.13
,,Preview,1358620072.65,1358620073.17
,,Google Chrome,1358620073.69,1358620077.84
,,Preview,1358620078.36,1358620079.40
,,Google Chrome,1358620079.92,1358620089.83
,,Google Chrome,1358620091.39,1358620091.91
,,Preview,1358620092.43,1358620093.47
,,Finder,1358620093.99,1358620095.56
,,Finder,1358620099.20,1358620103.90
,,Scribd Uploader,1358620105.99,1358620125.28
,,Finder,1358620125.81,1358620131.02
,,Preview,1358620131.54,1358620134.68
,,Finder,1358620135.20,1358620141.96
,,Finder,1358620143.00,1358620143.54
,,Preview,1358620144.06,1358620146.16
,,Finder,1358620146.69,1358620151.91
,,Preview,1358620152.43,1358620168.57
,,Finder,1358620169.09,1358620170.13
,,Google Chrome,1358620170.65,1358620172.74
,,Finder,1358620173.26,1358620176.38
,,Google Chrome,1358620176.90,1358620177.42
,,Finder,1358620177.94,1358620179.52
,,Preview,1358620180.04,1358620181.09
,,Tweetbot,1358620181.61,1358620189.41
,,Google Chrome,1358620189.93,1358620217.20
,,Tweetbot,1358620217.71,1358620218.23
,,Preview,1358620218.75,1358620219.27
,,Finder,1358620219.80,1358620222.93
,,Google Chrome,1358620223.45,1358620228.13
,,Finder,1358620228.65,1358620231.26
,,Finder,1358620232.30,1358620232.82
,,Preview,1358620233.34,1358620240.19
,,Google Chrome,1358620241.25,1358620242.30
,,Preview,1358620243.34,1358620243.86
,,Google Chrome,1358620244.40,1358620255.32
,,Preview,1358620255.84,1358620258.96
